,City of Interest,City,State,Total INC 5000 Businesses in Area,Construction,IT Services,Advertising & Marketing,Government Services,Health,Financial Services,Food & Beverage,Real Estate,Security,Education,Human Resources,Consulting,Manufacturing,Business Products & Services,Logistics & Transportation,Software,Travel & Hospitality,Retail,Telecommunications,Media,Consumer Products & Services,Energy,Insurance,Environmental Services,Engineering,Computer Hardware,Business Services
"Bedford,+TX",,Bedford,TX,143,8,28,5,1,8,12,5,5,3,0,5,0,9,18,1,7,5,6,4,0,6,5,0,2,0,0,0
"Bedford,+NH",,Bedford,NH,29,0,7,0,1,4,1,1,0,0,1,3,0,1,1,2,2,0,0,1,0,1,1,0,1,1,0,0
"Bedminster,+NJ",,Bedminster,NJ,80,3,25,3,1,5,2,1,0,0,2,5,0,2,7,2,8,1,1,4,0,2,2,3,1,0,0,0
"Bellaire,+TX",,Bellaire,TX,96,1,12,5,0,8,3,1,1,1,1,6,0,2,12,3,9,0,3,1,0,4,17,1,2,3,0,0
"Belle+Haven,+VA",,Belle Haven,VA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bellevue,+WA",,bellevue,WA,113,0,14,12,0,10,5,2,5,0,0,1,0,6,24,3,10,0,5,2,0,6,3,1,0,3,1,0
"Bellevue,+WA",,Bellevue,WA,113,0,14,12,0,10,5,2,5,0,0,1,0,6,24,3,10,0,5,2,0,6,3,1,0,3,1,0
"Bellingham,+WA",,Bellingham,WA,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belmar,+NJ",,Belmar,NJ,24,0,5,3,0,0,1,0,0,0,2,0,0,1,0,0,4,0,2,0,2,2,1,0,0,1,0,0
"Belmont,+NH",,Belmont,NH,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Beloit,+WI",,Beloit,WI,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Beltsville,+MD",,Beltsville,MD,361,9,86,20,103,11,11,1,8,5,3,9,0,2,32,7,20,4,3,6,3,5,6,1,2,3,1,0
"Bensenville,+IL",,Bensenville,IL,247,9,46,27,0,15,10,12,6,4,7,11,0,18,22,10,13,1,7,6,3,10,2,1,1,2,4,0
"Berea,+OH",,Berea,OH,59,2,6,4,1,8,4,0,2,1,0,5,0,6,10,2,1,0,1,1,2,1,0,1,0,1,0,0
"Bergen,+NY",,Bergen,NY,21,1,4,1,0,0,1,0,0,0,0,2,0,2,3,0,0,0,0,6,0,1,0,0,0,0,0,0
"Berkeley,+IL",,Berkeley,IL,244,9,46,27,0,14,10,12,6,4,7,11,0,17,23,10,13,1,6,6,3,9,2,1,1,2,4,0
"Berkeley,+CA",,Berkeley,CA,172,2,21,29,0,5,11,12,4,1,5,9,0,4,17,2,22,0,9,3,2,6,4,1,1,0,2,0
"Berkeley+Heights,+NJ",,Berkeley Heights,NJ,297,3,56,51,1,15,13,6,2,1,11,16,0,5,27,3,17,6,15,10,12,14,3,4,2,3,1,0
"Bern,+KS",,Bern,KS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berthoud,+CO",,Berthoud,CO,38,0,1,4,1,1,0,6,1,0,0,1,0,1,5,0,6,0,1,0,0,3,3,1,1,1,1,0
"Bessemer,+AL",,Bessemer,AL,21,1,3,0,0,4,1,0,0,0,0,2,0,0,4,0,1,0,0,0,1,2,1,0,1,0,0,0
"Bethel+Park,+PA",,Bethel Park,PA,27,2,5,4,0,2,2,0,1,0,1,0,0,0,2,3,1,0,0,1,0,1,0,0,0,2,0,0
"Bethesda,+MD",,Bethesda,MD,349,10,86,17,103,10,10,1,8,5,4,8,0,1,30,6,19,5,2,7,2,5,5,0,2,2,1,0
"Bethlehem,+PA",,Bethlehem,PA,19,0,3,1,0,2,0,0,1,0,0,0,0,6,1,0,1,0,0,1,0,0,0,1,1,1,0,0
"Beverly,+MA",,Beverly,MA,153,5,26,18,2,15,7,4,3,1,2,4,0,4,14,2,16,5,5,5,1,4,3,2,2,3,0,0
"Beverly+Hills,+CA",,Beverly Hills,CA,168,1,14,28,1,8,8,5,2,2,2,2,0,4,20,6,12,4,13,5,8,12,1,2,1,3,4,0
"Billerica,+MA",,Billerica,MA,169,5,27,19,3,18,7,4,3,1,3,7,0,5,13,3,17,5,4,6,1,5,5,2,2,4,0,0
"Bingham+Farms,+MI",,Bingham Farms,MI,88,3,18,7,1,4,9,3,1,0,2,7,0,3,8,2,4,0,1,3,1,5,1,0,2,3,0,0
"Binghamton,+NY",,Binghamton,NY,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birmingham,+MI",,Birmingham,MI,82,3,18,7,1,4,7,3,1,0,2,7,0,2,8,2,3,0,1,3,1,3,1,0,2,3,0,0
"Birmingham,+AL",,Birmingham,AL,21,1,3,0,0,4,1,0,0,0,0,2,0,0,4,0,1,0,0,0,1,2,1,0,1,0,0,0
"Bismarck,+ND",,Bismarck,ND,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Black+Creek,+GA",,Black Creek,GA,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Blacksburg,+VA",,Blacksburg,VA,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Blackwood,+NJ",,Blackwood,NJ,112,4,18,6,0,16,8,1,1,0,4,11,0,3,14,3,6,3,2,1,1,4,2,3,1,0,0,0
"Blauvelt,+NY",,Blauvelt,NY,284,5,40,59,1,16,14,7,3,2,11,11,0,5,28,3,14,6,13,10,14,13,3,1,1,3,1,0
"Blissfield,+MI",,Blissfield,MI,9,2,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Bloomfield+Hills,+MI",,Bloomfield Hills,MI,82,3,18,7,1,4,7,3,1,0,2,7,0,2,8,2,3,0,1,3,1,3,1,0,2,3,0,0
"Bloomingdale,+IL",,Bloomingdale,IL,245,9,46,27,0,15,10,12,6,4,7,11,0,16,22,10,13,1,7,6,3,10,2,1,1,2,4,0
